epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6570728421211243,0.0010000000474974513,0.6112738847732544,0.7760874032974243,0.5911672711372375
1,0.8132956624031067,0.0010000000474974513,0.41836807131767273,0.8694021701812744,0.36782339215278625
2,0.8754249811172485,0.0010000000474974513,0.3071005940437317,0.9177737236022949,0.23258483409881592
3,0.9084169864654541,0.0010000000474974513,0.2355949878692627,0.9319155812263489,0.18375983834266663
4,0.9293508529663086,0.0010000000474974513,0.18598826229572296,0.9255410432815552,0.175510972738266
5,0.9447101950645447,0.0010000000474974513,0.14725574851036072,0.9273087382316589,0.21884982287883759
6,0.9553253650665283,0.0010000000474974513,0.11841852962970734,0.9358795881271362,0.17482326924800873
7,0.9617893695831299,0.0010000000474974513,0.10583147406578064,0.9430040717124939,0.16101406514644623
8,0.9677591323852539,0.0010000000474974513,0.08848169445991516,0.9255410432815552,0.24914908409118652
9,0.9713172912597656,0.0010000000474974513,0.08121227473020554,0.9397364258766174,0.1560411900281906
10,0.9756859540939331,0.0010000000474974513,0.06923215091228485,0.9516820311546326,0.13756509125232697
11,0.9774254560470581,0.0010000000474974513,0.06551846116781235,0.9464859366416931,0.1562194526195526
12,0.9798766374588013,0.0010000000474974513,0.05821045860648155,0.9512534737586975,0.1563289910554886
13,0.979520857334137,0.0010000000474974513,0.059335917234420776,0.9429504871368408,0.1732466071844101
14,0.991658091545105,0.00020000000949949026,0.02146090753376484,0.9573602080345154,0.1751990020275116
15,0.9953348636627197,0.00020000000949949026,0.01142254751175642,0.9544139504432678,0.23581965267658234
16,0.9966592788696289,0.00020000000949949026,0.008893342688679695,0.9586458206176758,0.2027900665998459
17,0.9984383583068848,4.0000002627493814e-05,0.00457457359880209,0.9571459293365479,0.2836643159389496
18,0.9987348914146423,4.0000002627493814e-05,0.0035482144448906183,0.954521119594574,0.33628228306770325
19,0.9992092847824097,4.0000002627493814e-05,0.0031649544835090637,0.9574673175811768,0.35695508122444153
20,0.9992685914039612,8.000000889296643e-06,0.0019909816328436136,0.955699622631073,0.3841056525707245
21,0.9993081092834473,8.000000889296643e-06,0.0021823488641530275,0.9552174806594849,0.3920564651489258
22,0.9993674159049988,8.000000889296643e-06,0.0014777760952711105,0.9552174806594849,0.40222179889678955
23,0.9995453357696533,1.6000001323845936e-06,0.0013448488898575306,0.9552174806594849,0.40575525164604187
24,0.9993081092834473,1.6000001323845936e-06,0.0015847483882680535,0.9547353982925415,0.41148194670677185
25,0.9993476867675781,1.6000001323845936e-06,0.0015008811606094241,0.9550567865371704,0.4101862907409668
26,0.9994860291481018,9.999999974752427e-07,0.0014265491627156734,0.9547889232635498,0.4177665710449219
